證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M2600  ,航運業類指數 ,20000209,        -,    28.37,        -,        -,        -,        -
M2500  ,建材營造類指數,20000209,        0,    82.62,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000209,        0,  -449.12,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000209,        -,     3.86,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000209,        -,   -19.87,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000210,        -,  -289.32,        -,        -,        -,        -
M2500  ,建材營造類指數,20000210,        0,   -14.81,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000210,        0,   -55.53,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000210,        -,     1.40,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000210,        -,     7.29,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000211,        -,    27.92,        -,        -,        -,        -
M2500  ,建材營造類指數,20000211,        0,     8.77,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000211,        0,  -292.66,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000211,        -,     1.17,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000211,        -,     0.19,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000214,        -,    83.47,        -,        -,        -,        -
M2500  ,建材營造類指數,20000214,        0,   -20.00,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000214,        0,  -122.70,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000214,        -,    -3.37,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000214,        -,    -2.45,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000215,        -,    -0.11,        -,        -,        -,        -
M2500  ,建材營造類指數,20000215,        0,    -6.13,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000215,        0,  -306.80,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000215,        -,    -2.27,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000215,        -,    -2.78,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000216,        -,   -28.33,        -,        -,        -,        -
M2500  ,建材營造類指數,20000216,        0,   -10.86,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000216,        0,  -276.04,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000216,        -,    -0.88,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000216,        -,   103.30,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000217,        -,   -15.62,        -,        -,        -,        -
M2500  ,建材營造類指數,20000217,        2,   -13.14,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000217,        0,    82.06,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000217,        -,    -5.68,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000217,        -,    -3.55,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000218,        -,   -25.07,        -,        -,        -,        -
M2500  ,建材營造類指數,20000218,        0,    87.07,        0,     0.00,        0,     0.00
