日期,收盤價,開市,高,低,成交量,更改%,報酬
2021年2月26日,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%,0.012577246
2021年2月25日,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%,0.059004656
2021年2月24日,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%,-0.015821721
2021年2月23日,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%,0.106327385
2021年2月22日,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%,0.061391416
2021年2月21日,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%,-0.02629288
2021年2月20日,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%,-0.000305774
2021年2月19日,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%,-0.077350438
2021年2月18日,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%,0.009635107
2021年2月17日,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%,-0.055866834
2021年2月16日,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%,-0.025084554
2021年2月15日,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%,0.014750826
2021年2月14日,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%,-0.030316549
2021年2月13日,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%,0.004303701
2021年2月12日,"47,371.70","47,995.00","48,927.40","46,218.60",133.73K,-1.29%,0.013066873
2021年2月11日,"47,990.70","44,834.80","48,622.10","44,041.10",145.77K,7.04%,-0.065735653
2021年2月10日,"44,836.00","46,507.80","47,295.30","43,800.50",151.83K,-3.60%,0.037304844
2021年2月9日,"46,508.60","46,396.40","48,143.50","45,104.70",193.87K,0.24%,-0.002427508
2021年2月8日,"46,395.70","38,853.60","46,596.40","38,057.00",248.47K,19.41%,-0.162575411
2021年2月7日,"38,852.90","39,228.90","39,691.70","37,381.60",125.37K,-1.03%,0.010390473
2021年2月6日,"39,256.60","38,300.60","40,939.70","38,275.30",156.02K,2.50%,-0.024429013
2021年2月5日,"38,297.60","36,976.40","38,303.60","36,640.00",100.60K,3.56%,-0.034349411
2021年2月4日,"36,982.10","37,648.90","38,707.90","36,380.80",151.44K,-1.77%,0.01797356
2021年2月3日,"37,646.80","35,486.90","37,646.80","35,401.50",131.03K,6.09%,-0.057417895
2021年2月2日,"35,485.20","33,514.00","35,976.10","33,462.40",120.85K,5.88%,-0.055502012
2021年2月1日,"33,515.70","33,106.80","34,685.60","32,324.90",126.32K,1.23%,-0.012161465
2021年1月31日,"33,108.10","34,281.60","34,348.30","32,189.90",101.92K,-3.43%,0.035489805
2021年1月30日,"34,283.10","34,300.00","34,920.90","32,908.50",128.57K,-0.05%,0.000545458
2021年1月29日,"34,301.80","33,381.70","38,546.00","31,953.30",297.73K,2.78%,-0.027024821
2021年1月28日,"33,374.80","30,408.90","33,790.80","29,911.90",167.39K,9.77%,-0.089013267
2021年1月27日,"30,404.00","32,499.60","32,545.40","29,290.40",194.35K,-6.46%,0.069007367
2021年1月26日,"32,502.10","32,244.10","32,917.70","30,850.00",139.84K,0.77%,-0.007685657
2021年1月25日,"32,252.30","32,244.30","34,854.30","31,967.40",142.43K,0.03%,-0.000341061
2021年1月24日,"32,241.30","32,088.50","33,034.80","30,982.90",88.21K,0.47%,-0.004726857
2021年1月23日,"32,088.90","32,994.10","33,441.40","31,418.20",100.70K,-2.76%,0.028408577
2021年1月22日,"33,000.50","30,838.70","33,821.20","28,871.20",243.09K,7.00%,-0.06540507
2021年1月21日,"30,842.10","35,472.30","35,591.10","30,101.80",253.27K,-13.06%,0.150255657
2021年1月20日,"35,476.30","35,862.10","36,384.40","33,444.50",153.61K,-1.46%,0.014843713
2021年1月19日,"36,002.90","36,630.60","37,821.00","36,001.40",79.11K,-1.67%,0.016951412
2021年1月18日,"36,613.20","35,838.20","37,436.80","34,801.00",111.52K,2.16%,-0.021128992
2021年1月17日,"35,839.60","36,020.10","36,801.30","33,883.50",126.82K,-0.50%,0.005019587
2021年1月16日,"36,019.50","36,751.80","37,931.70","35,408.40",137.02K,-2.24%,0.022940352
2021年1月15日,"36,845.80","39,175.70","39,715.00","34,488.70",118.42K,-5.95%,0.063233801
2021年1月14日,"39,175.70","37,383.40","40,054.30","36,772.10",172.40K,4.80%,-0.045780931
2021年1月13日,"37,382.20","34,061.20","37,764.60","32,451.90",209.93K,9.70%,-0.088440488
2021年1月12日,"34,076.10","35,426.00","36,598.70","32,572.70",241.93K,-4.13%,0.043085917
