Date,BTC,trend,ETH,XRP,LTC,EOS ,ADA ,DOGE,TRX ,XLM ,ZEC ,ZRX ,ETC ,VET ,DASH, IOTA ,NEO ,QTUM ,MANA,XMR,BNB,ICX,LINK,XEM,ONT,BAT,OMG,SNT,DGB,BCH,ZIL,THETA
2018/9/10,6308.135475,1,196.3615327,0.26881171,54.30349828,5.023992317,0.073419888,0.006883264,0.019314672,0.19020354,119.5677197,0.55731268,11.2917875,0.014150295,201.0326044,0.565952785,18.45827633,3.560803236,0.060575105,105.3979201,9.511179738,0.62131068,0.247885375,0.093928368,1.841926421,0.152307652,3.473814163,0.03320917,0.024586831,465.0131633,0.034352785,0.086025982
2018/9/11,6278.91707,1,184.0822318,0.263836394,51.73932425,4.95854684,0.070249999,0.006309319,0.018520136,0.201021962,112.1419294,0.515832426,11.19645329,0.013077307,187.0979014,0.54482156,17.64344348,3.3818138,0.058638818,105.420999,9.348234583,0.578101232,0.260072261,0.088174247,1.751615897,0.14783241,3.182043719,0.031999037,0.023257491,438.6060344,0.032505864,0.082171481
2018/9/12,6330.574238,1,182.9455763,0.270151107,51.78280104,4.937849444,0.066638363,0.006449402,0.018193588,0.197706469,110.8384534,0.515005033,10.67516906,0.013806553,185.3488631,0.548278519,17.60798468,3.365658334,0.060160636,104.5326064,9.202946939,0.591487783,0.254050965,0.088513056,1.734615276,0.155269278,3.291062556,0.032840239,0.022476283,432.6553032,0.033233498,0.080924787
2018/9/13,6486.46163,1,211.8267275,0.280815933,54.57076763,5.427914255,0.069898913,0.006550332,0.020018048,0.208087251,118.7125832,0.545193499,11.15556555,0.014078346,192.5220995,0.576652119,18.23697936,3.528107993,0.066266689,112.1114482,9.613665899,0.638934288,0.271877175,0.092571041,1.892270572,0.163642385,3.422170879,0.03336215,0.026404325,465.3560064,0.034695009,0.085897436
2018/9/14,6500.012255,1,211.3835617,0.276880547,56.62711648,5.251444182,0.0681112,0.00618891,0.019811993,0.201783416,119.1065978,0.576123076,10.99840697,0.013935619,191.142464,0.572944531,17.85840186,3.419825688,0.065703281,116.8119152,9.922363177,0.622929581,0.268726311,0.090259546,1.819723662,0.158130956,3.439907957,0.032702603,0.026855696,449.1117857,0.032750284,0.083215907
2018/9/15,6530.221146,1,223.0530823,0.281883918,56.70904368,5.406226894,0.069335334,0.00623141,0.019855204,0.203962726,121.1907081,0.579599462,11.36474864,0.014274769,191.718911,0.57464422,18.16271421,3.494400752,0.071193411,119.3703404,10.11287927,0.609595473,0.2695197,0.090193341,1.847137719,0.16398989,3.520563307,0.033059148,0.02744517,450.7606278,0.033504806,0.083201853
2018/9/16,6506.248493,1,220.1415794,0.28120384,56.82796365,5.41498699,0.069926851,0.006571838,0.019951663,0.201992064,118.8004025,0.5689101,11.18613378,0.014149056,192.5837055,0.578663807,17.94433749,3.45181383,0.069897989,117.1599125,9.936509386,0.612040629,0.274032105,0.090804002,1.829121101,0.162754422,3.416386689,0.033432571,0.027237464,450.1617707,0.034348555,0.084049079
2018/9/17,6250.121727,1,196.5766097,0.271347906,52.24179094,4.853547568,0.063703714,0.006251623,0.018472445,0.196073391,108.039591,0.512696538,10.28170135,0.012669725,183.6201108,0.533866926,16.55424484,3.159152428,0.064802245,107.2102627,9.366957078,0.581936329,0.268148871,0.085050402,1.68850493,0.147380354,3.08949019,0.030749346,0.025439081,418.6675193,0.031347463,0.086841837
2018/9/18,6347.069255,1,210.1506965,0.321950175,54.21421559,5.093793057,0.069260576,0.005956048,0.019395404,0.208791034,112.2165331,0.52557889,10.59484609,0.012957585,190.5802716,0.535921482,16.9627667,3.301464404,0.069668256,112.4485282,9.547476047,0.582143136,0.291125468,0.087690068,1.728022054,0.150097236,3.168483076,0.03373775,0.02625954,436.1069531,0.032882283,0.082807282
2018/9/19,6383.753841,1,209.1425268,0.326004614,54.19474803,5.227515057,0.072087089,0.005614992,0.019688281,0.206336552,113.4042133,0.526522091,10.78578501,0.012986816,191.3199661,0.53030549,17.10457204,3.300049984,0.073424102,109.5761968,9.609423515,0.586798987,0.329616664,0.085754721,1.708379572,0.147485417,3.137832008,0.033434056,0.026407133,427.3762085,0.032619539,0.089014254
2018/9/20,6491.885242,1,224.3809777,0.449615905,56.53424638,5.735179124,0.081161799,0.00569815,0.021331513,0.231555915,120.3450599,0.567596809,11.16547015,0.013594675,200.7401809,0.569895721,18.28223699,3.537000713,0.079965536,116.107032,10.05375109,0.632736347,0.353680669,0.089840646,1.825587508,0.164251598,3.332313728,0.036194182,0.02609348,457.4458201,0.034696717,0.087637447
