,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX,BBI
148,-0.01990632318501173,-0.08138564273789661,-0.03820816864295129,0.1890909090909092,0.08918486947256254,0.0426179604261796,-0.01089324618736398,0.040528704514690705,-0.041004184100418395,0.017743979721166037,-0.021621621621621623,0.0021050299135829675,0.03753665689149566,0.008810572687224738,-0.009737827715355807,-0.0231540565177758,0.013652641002685817,0.02008138244464397,0.016660630206446925,0.00717439293598221,0
149,-0.00638297872340432,-0.06797385620915031,-0.09098979138925878,0.07533843437316068,-0.038385826771653475,-0.021068472535741067,-0.0700636942675158,0.0063346266529415995,-0.08361204013377921,-0.02164502164502169,-0.07446808510638292,-0.04450566917452581,-0.029920898773357907,-0.04723430702299569,-0.02947845804988658,-0.1007943512797882,-0.048429319371727786,-0.013629426932589617,-0.02172338884866043,-0.055016181229773586,0
150,0.015453194650817181,-0.023635582294800117,-0.036607548885857155,0.003231017770597644,0.079192546583851,-0.002192982456140302,-0.031982942430703654,0.04824732609883675,-0.031355932203389836,0.017104459376908965,-0.03743315508021394,0.0598840952994204,0.012890714122747005,0.0,-0.0029673590504450953,-0.06141899046946708,-0.004361098996947255,0.000413971539456659,0.008877840909090828,-0.01140065146579805,0
151,0.006447831184056341,0.015105740181268867,-0.0007053844345168425,-0.018248175182481785,0.05778740639570468,-0.02126151665485465,-0.02123142250530774,-0.0013397841458876458,-0.03637901861252113,0.03214285714285703,-0.042105263157894646,0.04926580123430502,-0.013694163677861249,-0.014405762304921965,-0.01897810218978102,0.010409188801148606,-0.012543252595155763,-0.01724137931034475,0.026424159231297262,-0.0538071065989848,0
152,0.03498803827751207,0.018197958277851756,0.008161305808929376,-0.006889242183359845,0.06868948327101898,0.012996389891696714,0.015350877192982448,0.02872558705068773,-0.018166089965397814,0.07774294670846382,-0.01098901098901095,0.06628404231375207,0.008610086100861114,0.0006134969325153339,0.018045112781954975,0.007373271889400845,-0.0017574692442881013,0.006674600300098366,0.08677248677248661,-0.011683483802442995,0
153,0.13711151736745886,0.11900369003690048,-0.02791577951265678,0.062118691070438325,0.19294646346228994,0.08965014577259467,0.09395973154362425,0.11542927924440671,0.09569798068481128,0.14339386349405125,0.09604519774011289,0.049014147265233454,0.12433740493201184,0.0831265508684862,0.1037593984962406,0.09385730637161394,0.12405345211581298,0.15650912106135983,0.19317356572258526,0.07878787878787885,0
154,0.10573476702508944,0.04634257155838273,-0.06963470319634701,-0.020387359836901098,0.18778125611426333,0.09635036496350358,0.06167400881057272,0.09381695745332097,0.04624781849912751,0.15628891656288935,0.16022099447513805,0.023880597014925398,0.10808366308648942,0.08421709295071733,0.08547655068078663,0.04124673385591637,0.06911017884742776,0.1057348598663419,0.14891343070894192,0.02904109589041104,0
155,0.11073722851024792,0.06778868630201029,-0.025634765625,-0.003284072249589487,0.2279938587512793,0.11683320522674867,0.07077625570776247,0.10653867338106848,0.0684306569343065,0.14222503160556244,0.2586206896551724,0.07053343684152158,0.11652091704088874,0.09784735812133083,0.09267912772585674,0.07714958775029457,0.09193030719853268,0.1075544174135723,0.1428571428571428,0.2140410958904111,0
156,0.05765291191103317,-0.022007042253521125,0.0018881283927307813,-0.006441223832528209,0.0701888489208633,0.05201465201465205,0.011013215859031034,0.02591792656587466,0.020997375328083878,0.06306306306306286,0.21666666666666656,-0.058221952207371364,0.0572136501858318,0.004302397049784856,0.04092261904761907,0.001128243700639242,0.0332895313184407,0.05348368075311627,0.0851812741992255,0.1301482701812191,0
157,0.07454863133372158,-0.039540816326530615,0.004705882352941115,-0.0037174721189591198,0.20992876224398938,0.09123823316437352,0.017353579175704903,0.0798241037489753,0.043020193151887653,0.09688581314878908,0.22527472527472514,-0.08214177061149974,0.08958677685950422,0.05542021924482343,0.09300595238095233,-0.031083481349911124,0.05168637757336847,0.1015887802101123,0.12470745570043462,0.08690987124463523,0
158,0.0635654435134354,-0.013077593722755076,0.015238095238095273,0.006403415154749181,0.17111459968602838,0.06486101211689244,0.004319654427645814,0.051783999409027004,0.05903083700440526,0.1157649796393252,0.2666666666666666,-0.0481266490765172,0.07671840354767179,0.06683016554261179,0.07902511078286567,0.013174748398902203,0.06272007042253525,0.08681126644736836,0.13274910743265167,0.10908113917248796,0
159,0.015273311897106234,-0.05935696619950548,0.03504502311998059,-0.006788511749347248,0.10691180083531227,0.025418060200669057,-0.02249488752556239,0.016796224319822306,-0.02644230769230771,0.047645125958379,0.15463917525773208,-0.10523521291281723,0.052475146048990506,0.005154639175257714,0.02452316076294281,-0.036449250087199125,-0.028135526055082183,-0.03477325685606736,0.08094948265368229,0.11440245148110328,0
160,-0.0054024851431657694,-0.014329135909682988,0.04073619631901826,-0.02861602497398541,0.09953465387307991,0.00998668442077233,-0.03112033195020747,0.0039876871414579185,0.025020850708924014,0.014539579967689953,0.042857142857142705,-0.07720548536875071,0.020304050607080848,-0.02128883774453394,0.0202090592334494,-0.03082989783115242,-0.005576208178438624,-0.00983883058470758,0.18759689922480605,0.11927582534611281,0
161,0.14816854860919837,0.007880910683012221,0.1368078175895766,0.17572762218561233,0.45851219003959187,0.14590502408809347,0.08102345415778256,0.18146910332077093,0.19043552519214346,0.16491422246817922,0.08675799086757996,-0.06505749507924996,0.19104572396274344,0.14081996434937594,0.19672131147540983,0.09094222708219424,0.10959479319756471,0.13270712909441218,0.4242227979274611,0.11894687353079458,0
