Date,BTC,ETH,XRP,LTC,EOS,ADA,DOGE,TRX,XLM,ZEC,ZRX,ETC,VET,DASH,IOTA,NEO,QTUM,KNC,MANA,XMR,BNB,ICX,LINK,ATOM,ALGO,BAT,OMG,REP,ARDR,SNT,BTS
2019/10/20,"8,223.40",175.14,0.29397,54.876,2.9209,0.039493,0.0028,0.015492,0.0632,36.33,0.33144,4.5012,0.003357,69.18,0.27022,7.2936,1.7166,0.18122,0.0294,56.23,18.47,0.15705,2.44,2.8878,0.2242,0.22612,0.8134,8.1,0.05258,0.01234,0.02615
2019/10/21,"8,208.20",174.18,0.29207,54.77,2.921,0.039118,0.002704,0.015507,0.06393,36.76,0.32266,4.584,0.003325,68.65,0.26901,7.4137,1.7066,0.17703,0.0299,57.408,18.25,0.15574,2.62,2.9817,0.2267,0.21563,0.8087,8.2,0.05098,0.012338,0.02598
2019/10/22,"8,031.40",171.42,0.29053,53.407,2.8931,0.038586,0.002578,0.015122,0.06323,35.8,0.31145,4.4538,0.003258,67.28,0.26963,7.2633,1.6682,0.1686,0.029,56.463,18.19,0.15375,2.61,2.8698,0.2187,0.24059,0.7794,7.86,0.05034,0.012155,0.02614
2019/10/23,"7,477.00",162.28,0.27324,49.456,2.7174,0.036313,0.002548,0.014341,0.0598,32.9,0.29398,4.2544,0.002996,63.17,0.25313,6.9037,1.5547,0.15926,0.0268,53.015,16.72,0.14122,2.61,2.6799,0.2002,0.2404,0.7244,7.34,0.04904,0.011466,0.02429
2019/10/24,"7,422.70",160.73,0.27602,49.616,2.7222,0.037306,0.002593,0.015154,0.05964,33.12,0.29812,4.2882,0.002997,63.34,0.25415,6.9678,1.5885,0.16452,0.0273,53.357,16.9,0.14082,2.72,2.8184,0.2012,0.23569,0.7812,7.56,0.04845,0.011537,0.02437
2019/10/25,"8,658.30",181.49,0.29835,56.95,3.1776,0.041168,0.002696,0.017589,0.06435,37.07,0.30543,4.7438,0.003377,70.3,0.27174,7.7936,1.773,0.17495,0.0293,58.867,18.6,0.15109,2.84,3.0496,0.2129,0.25191,0.8381,7.82,0.05372,0.012421,0.02653
2019/10/26,"9,230.60",179.62,0.29375,56.752,3.1331,0.040483,0.002672,0.016585,0.06264,36.01,0.29291,4.5711,0.003365,70.83,0.26855,9.1097,1.8272,0.17183,0.0326,56.548,18.93,0.14556,2.74,3.0824,0.2155,0.2357,0.846,8.22,0.05248,0.01218,0.02776
2019/10/27,"9,529.60",184.05,0.29826,59.821,3.3273,0.042184,0.002675,0.019096,0.06514,37.28,0.28748,4.7788,0.004121,71.85,0.27287,11.5425,2.3174,0.17977,0.032,59.443,19.3,0.16478,2.67,3.1961,0.2177,0.24024,0.9693,8.39,0.05341,0.01281,0.02933
2019/10/28,"9,207.20",181.67,0.29447,57.822,3.2809,0.042186,0.002687,0.020051,0.06455,37.82,0.2864,4.7716,0.003805,71.73,0.28522,10.7025,2.3093,0.18255,0.0314,59.232,19.9,0.16676,2.66,3.1056,0.2303,0.23699,1.0269,9.15,0.05219,0.012936,0.02951
2019/10/29,"9,411.30",190.45,0.30187,59.796,3.4016,0.04338,0.002666,0.021916,0.06668,39.13,0.27992,4.9356,0.004218,73.66,0.28066,10.7793,2.3014,0.18019,0.0313,59.418,20.66,0.16548,2.66,3.1521,0.2263,0.2347,1.0375,9.13,0.05564,0.013077,0.0291
2019/10/30,"9,157.90",183.25,0.29463,57.983,3.2677,0.041704,0.002627,0.019948,0.06391,38.4,0.27151,4.7969,0.00414,72.09,0.28224,11.2339,2.1929,0.1724,0.0305,58.271,19.9,0.16876,2.61,3.0103,0.2109,0.23428,0.9801,8.89,0.05446,0.013617,0.02835
2019/10/31,"9,152.60",182.37,0.29448,58.429,3.2508,0.041239,0.002633,0.019754,0.06506,37.56,0.27192,4.8203,0.004096,71.59,0.27172,10.5427,2.1459,0.17438,0.0315,58.911,19.85,0.16178,2.72,3.2677,0.2224,0.2327,0.9443,8.95,0.05363,0.012831,0.0288
2019/11/1,"9,230.10",183.12,0.29137,58.37,3.3428,0.042118,0.002648,0.019615,0.06905,37.64,0.29899,4.8672,0.00398,71.82,0.27338,10.6061,2.1535,0.17572,0.0318,60.522,19.9,0.16277,2.71,3.2537,0.2606,0.23499,0.9748,9.17,0.05576,0.013707,0.02914
2019/11/2,"9,300.60",183.01,0.29469,58.281,3.3202,0.042373,0.002698,0.019881,0.07124,37.61,0.29351,4.9241,0.004204,72.13,0.27252,10.9573,2.1836,0.1776,0.0314,62.088,20.19,0.1646,2.7,3.412,0.2583,0.23326,0.9843,9.82,0.05496,0.013898,0.02901
2019/11/3,"9,198.30",181.7,0.29029,58.398,3.27,0.041697,0.002855,0.019628,0.06872,37.11,0.29443,4.8766,0.004233,69.8,0.26875,11.0437,2.132,0.1754,0.0313,63.26,20.16,0.16632,2.66,3.378,0.2635,0.2307,0.9644,10.25,0.05503,0.01371,0.02884
2019/11/4,"9,396.40",185.85,0.29879,61.443,3.4401,0.043157,0.002651,0.019791,0.07823,37.67,0.29545,4.9627,0.00439,72.65,0.2741,11.4149,2.2666,0.17961,0.0316,62.823,20.62,0.17751,2.68,3.6139,0.2568,0.24322,0.9838,12.13,0.05653,0.013568,0.0295
2019/11/5,"9,310.80",188.67,0.30058,63.238,3.616,0.044133,0.002628,0.019762,0.08296,38.68,0.29119,5.0452,0.00489,74.38,0.27542,11.1292,2.2551,0.17974,0.0314,62.593,20.62,0.18165,2.67,3.7511,0.2835,0.2501,1.0271,12.04,0.05368,0.014093,0.02944
2019/11/6,"9,338.90",191.28,0.31018,64.199,3.6033,0.044784,0.002736,0.02013,0.07695,38.8,0.30856,5.0935,0.005238,75.21,0.28006,11.0658,2.2834,0.17738,0.0316,63.772,20.65,0.18181,2.74,3.8403,0.2841,0.26319,1.0322,11.31,0.05711,0.013788,0.02978
2019/11/7,"9,223.50",186.94,0.29056,61.469,3.4675,0.04341,0.002762,0.019508,0.07427,38.64,0.30326,5.2508,0.005599,73.14,0.27076,11.1175,2.2045,0.17712,0.0314,63.138,20.4,0.17985,2.68,3.8657,0.2707,0.25135,0.998,11.28,0.05491,0.013499,0.02925
2019/11/8,"8,778.20",184.03,0.27553,60.452,3.4111,0.042166,0.002801,0.018767,0.07116,36.53,0.29334,4.9869,0.00531,70.52,0.26464,10.6115,2.1537,0.17207,0.0301,60.766,19.71,0.16471,2.71,3.8041,0.2555,0.23749,0.9522,11.2,0.05056,0.012678,0.02808
2019/11/9,"8,804.50",184.96,0.27987,62.093,3.4893,0.042408,0.002744,0.018961,0.07316,36.77,0.30414,4.9728,0.005123,71.46,0.26609,10.6947,2.1379,0.17292,0.0304,61.792,19.76,0.16387,2.8,3.9633,0.2621,0.24819,0.9615,12.18,0.05263,0.012905,0.02806
2019/11/10,"9,036.80",188.99,0.27919,63.716,3.5801,0.043831,0.002826,0.019337,0.07904,37.52,0.30703,5.0538,0.005728,71.88,0.26703,11.0117,2.1879,0.17758,0.0307,63.832,20.42,0.16753,2.78,4.1988,0.2681,0.2446,1.0066,12.25,0.05542,0.013152,0.02823
2019/11/11,"8,736.90",185.09,0.27429,61.893,3.4371,0.043188,0.002777,0.019095,0.08002,36.81,0.30206,4.8917,0.006051,70.18,0.25805,11.1391,2.1122,0.18072,0.03,61.563,20.11,0.16112,2.75,4.3499,0.2824,0.24033,0.9508,11.79,0.05103,0.01291,0.02697
2019/11/12,"8,812.60",186.99,0.27212,61.522,3.4801,0.043696,0.002782,0.019662,0.07606,36.89,0.30078,4.9068,0.006535,70.03,0.26059,12.1205,2.247,0.1758,0.0298,62.146,20.89,0.16116,2.82,4.2132,0.2728,0.24023,0.9631,11.66,0.05399,0.012742,0.0268
2019/11/13,"8,783.10",188.36,0.27215,61.025,3.469,0.043289,0.002778,0.020108,0.07535,36.76,0.30057,4.8493,0.006278,69.56,0.25797,13.1607,2.2661,0.18546,0.0299,65.04,21.31,0.16331,3.02,3.9935,0.2869,0.25442,0.9785,11.58,0.05399,0.013034,0.02681
2019/11/14,"8,661.20",185.25,0.26823,59.187,3.3959,0.042798,0.002743,0.019412,0.07419,36.46,0.29006,4.7532,0.007299,68.72,0.26356,12.6704,2.3102,0.17832,0.0297,64.927,21.21,0.16035,3.04,4.0087,0.2766,0.25661,1.013,11.16,0.05294,0.012746,0.02628
2019/11/15,"8,476.30",180.19,0.26063,57.758,3.3312,0.043916,0.002711,0.01859,0.07207,36.06,0.27686,4.5938,0.007813,68.13,0.25818,12.0114,2.1725,0.1712,0.0286,61.705,20.31,0.15702,3.04,3.9134,0.2647,0.25104,1.006,10.87,0.05079,0.012581,0.0259
2019/11/16,"8,497.30",182.42,0.26219,58.285,3.3738,0.043878,0.002683,0.018668,0.07132,35.84,0.28213,4.6523,0.007261,68.02,0.25621,12.3865,2.1411,0.17249,0.0289,61.386,20.1,0.16066,2.99,3.9647,0.2722,0.26786,1.0444,11.11,0.05189,0.012685,0.02639
