Date,BTC,ADA,ARDR,ATOM,ALGO,BAT,BCH,BNB,BNT,BTS,DASH,DOGE,ETH,EOS,ETC,HT,ICX,IOTA,KNC,LINK,LTC,MANA,NEO,OMG,QTUM,REP,SNT,THETA,TRX,VET,XLM,XMR,XRP,ZEC,ZRX
20-Oct-19,9230.6,0.040483,0.05248,3.0824,0.2155,0.2357,252.81,18.93,0.32097,0.02776,70.83,0.002672,179.62,3.1331,4.5711,3.5107,0.14556,0.26855,0.17183,2.74,56.752,0.0326,9.1097,0.846,1.8272,8.22,0.01218,0.0932,0.016585,0.003365,0.06264,56.548,0.29375,36.01,0.29291
27-Oct-19,9300.6,0.042373,0.05496,3.412,0.2583,0.23326,289.67,20.19,0.3211,0.02901,72.13,0.002698,183.01,3.3202,4.9241,3.9315,0.1646,0.27252,0.1776,2.7,58.281,0.0314,10.9573,0.9843,2.1836,9.82,0.013898,0.0933,0.019881,0.004204,0.07124,62.088,0.29469,37.61,0.29351
3-Nov-19,8804.5,0.042408,0.05263,3.9633,0.2621,0.24819,283.09,19.76,0.31339,0.02806,71.46,0.002744,184.96,3.4893,4.9728,3.8452,0.16387,0.26609,0.17315,2.8,62.093,0.0304,10.6947,0.9615,2.1379,12.18,0.012905,0.09,0.018961,0.005123,0.07316,61.792,0.27987,36.77,0.30414
10-Nov-19,8497.3,0.043878,0.05189,3.9647,0.2722,0.26786,265.46,20.1,0.31581,0.02639,68.02,0.002683,182.42,3.3738,4.6523,3.636,0.16066,0.25621,0.17249,2.99,58.285,0.0289,12.3865,1.0444,2.1411,11.11,0.012685,0.0897,0.018668,0.007261,0.07132,61.386,0.26219,35.84,0.28213
17-Nov-19,7324.1,0.037889,0.04511,3.2199,0.2267,0.22094,215.16,16.29,0.25443,0.02144,55.35,0.002957,152.46,2.6759,3.9886,2.7605,0.13614,0.21501,0.15627,2.42,48.18,0.0233,10.0032,0.8031,1.7393,11.21,0.010634,0.0747,0.015017,0.005753,0.06144,51.423,0.234,29.57,0.24802
24-Nov-19,7546.6,0.040351,0.0512,3.9209,0.2653,0.20369,217.74,15.68,0.27738,0.021,55.87,0.002394,151.95,2.7478,3.9678,2.7908,0.13298,0.20997,0.18293,2.24,47.523,0.0254,9.3416,0.7668,1.793,10.87,0.011209,0.0705,0.015489,0.006083,0.05733,54.922,0.22548,29.04,0.25763
1-Dec-19,7510.9,0.038445,0.04897,3.7601,0.275,0.18787,211.03,15.63,0.26621,0.02,52.45,0.002288,148.28,2.7196,3.8616,2.8165,0.13096,0.20453,0.23755,2.04,45.237,0.0249,8.9114,0.7484,1.743,10.37,0.01279,0.0784,0.014484,0.006805,0.05548,54.291,0.22708,29.54,0.23615
8-Dec-19,7080.8,0.03624,0.04364,4.258,0.2523,0.17946,206.81,14.53,0.25207,0.0184,49.55,0.002294,142.03,2.5652,3.7985,2.7021,0.12552,0.18925,0.20056,1.99,43.273,0.0252,8.7999,0.7049,1.7566,9.87,0.010066,0.0881,0.01384,0.005451,0.05093,51.253,0.21631,32.07,0.21066
15-Dec-19,7156.2,0.033047,0.04129,4.0496,0.2396,0.1658,186.21,13.34,0.23497,0.01573,42.57,0.002118,127.61,2.4424,4.0845,2.7931,0.1204,0.16182,0.18911,1.86,39.678,0.0294,8.5059,0.6465,1.6178,9.77,0.009307,0.099,0.013511,0.005316,0.04541,45.103,0.19146,28.37,0.19157
22-Dec-19,7321.5,0.033663,0.03916,4.3964,0.2328,0.18582,206.14,13.71,0.25637,0.01472,41.85,0.002122,128.35,2.6266,4.4161,2.7911,0.11796,0.16377,0.17899,1.87,42.751,0.035,8.7727,0.6241,1.6281,9.15,0.009035,0.0892,0.013483,0.005667,0.04589,45.579,0.19309,28.1,0.18461
29-Dec-19,7376.8,0.034366,0.03887,4.2551,0.2347,0.1888,224.45,13.85,0.22087,0.01532,46.19,0.002307,134.33,2.6472,4.7563,2.8933,0.11349,0.17334,0.1978,1.82,42.855,0.0356,9.0796,0.6272,1.6412,9.11,0.008935,0.0934,0.013431,0.005626,0.04566,50.452,0.19311,30.2,0.18622
5-Jan-20,8024.1,0.03673,0.03885,4.2681,0.2263,0.18863,261.15,14.94,0.21501,0.01596,63.56,0.002179,142.67,2.9929,5.5527,3.1544,0.12025,0.19158,0.2065,2.28,49.438,0.0314,9.712,0.6722,1.7293,9.49,0.009094,0.0942,0.014604,0.005537,0.04831,58.317,0.21138,34.92,0.20703
12-Jan-20,8916.3,0.044889,0.04474,4.6209,0.2592,0.2233,338.8,17.81,0.23091,0.01972,101.23,0.002503,174.19,3.8031,8.2995,3.2144,0.15295,0.24598,0.2878,2.77,59.29,0.0373,11.9014,0.8374,2.0346,14.1,0.010744,0.1089,0.017647,0.006237,0.06147,67.112,0.2435,51.75,0.24447
19-Jan-20,8341.6,0.04314,0.04195,4.3866,0.2342,0.20444,310.17,16.96,0.21991,0.01836,101.69,0.002248,160.44,3.5018,8.3945,3.0722,0.15448,0.23327,0.27005,2.44,53.272,0.0336,10.3363,0.7615,1.8639,14.52,0.010312,0.1013,0.016079,0.005619,0.05605,61.494,0.2196,48.87,0.22384
26-Jan-20,9381.6,0.056063,0.04828,4.3858,0.2479,0.22452,380.12,18.24,0.2491,0.03265,116.66,0.002432,183.64,4.1519,11.529,3.4694,0.27483,0.30436,0.29914,2.84,70.751,0.036,11.4266,0.9159,2.1908,14.16,0.014529,0.1054,0.019078,0.005996,0.06225,73.218,0.24132,66.64,0.23177
2-Feb-20,9895.5,0.060049,0.05737,4.627,0.3076,0.25586,444.48,21.76,0.308,0.03119,126.33,0.003171,223.23,4.7646,11.6961,3.8254,0.40546,0.30724,0.3532,3.42,76.613,0.0562,12.6677,1.1566,2.5865,16.13,0.015791,0.1168,0.021874,0.006669,0.07091,80.642,0.27763,70.63,0.27296
9-Feb-20,9907.7,0.064252,0.064,4.6124,0.3346,0.27886,439.07,24.28,0.32794,0.03471,120.72,0.002903,264.87,4.7394,10.7159,4.888,0.36183,0.28829,0.43916,4.3,76.741,0.0573,15.0725,1.2858,2.6884,14.74,0.020857,0.1464,0.023652,0.007465,0.07908,89.088,0.30754,64.54,0.31925
16-Feb-20,9655.7,0.05821,0.06237,5.0239,0.4504,0.27162,373.12,22.03,0.33296,0.03156,103.86,0.002598,261.64,4.1048,9.502,4.5135,0.40612,0.27031,0.56044,4.11,74.818,0.0509,13.7188,1.1049,2.3916,13.14,0.01738,0.1282,0.020009,0.006598,0.07031,79.027,0.27492,60.71,0.28053
23-Feb-20,8543.7,0.047121,0.05512,3.4506,0.3319,0.21112,306.31,19.28,0.26842,0.02415,85.31,0.002216,217.52,3.5145,7.3532,4.7891,0.2945,0.21253,0.6488,4.06,58.078,0.0368,11.0997,0.8238,2.0266,11.12,0.014599,0.1165,0.016481,0.005617,0.05697,66.115,0.22902,48.9,0.22941
1-Mar-20,8887.8,0.048777,0.05743,3.6188,0.3425,0.22737,330.77,20.24,0.28789,0.0257,88.15,0.002408,237.32,3.6429,7.8064,4.64,0.35125,0.22372,0.80679,4.35,60.454,0.0439,11.5982,0.9072,2.2086,12.67,0.015406,0.1355,0.016998,0.005792,0.05831,65.554,0.23624,50.78,0.26301
8-Mar-20,5182.7,0.025764,0.03336,1.8371,0.1477,0.1231,167.43,10.13,0.1515,0.01464,46,0.001687,122.69,1.9617,4.5965,2.8124,0.18182,0.12398,0.47085,2.14,34.44,0.023,5.7512,0.4688,1.1742,7.43,0.009255,0.0612,0.009734,0.002545,0.03671,36.146,0.14596,25.05,0.15719
15-Mar-20,6186.2,0.029447,0.03998,2.1682,0.1531,0.13625,219.89,12.11,0.17101,0.01682,71.38,0.001781,132.58,2.2733,5.0106,3.3772,0.20177,0.13836,0.47862,2.27,38.347,0.0246,6.2373,0.5254,1.2399,8.74,0.014156,0.0725,0.011222,0.002897,0.03947,41.068,0.15788,33.18,0.15507
22-Mar-20,6233.7,0.029747,0.03139,1.9721,0.1498,0.13884,213.83,12.18,0.16748,0.01599,65.3,0.001774,131.03,2.1991,4.8122,3.2516,0.19075,0.13932,0.44339,2.14,38.851,0.0241,6.6278,0.5039,1.2107,10.07,0.017228,0.0701,0.011395,0.002969,0.03994,47.03,0.17545,30.32,0.14992
29-Mar-20,6857.4,0.032463,0.03333,2.0236,0.1775,0.14663,238.05,13.76,0.18411,0.01766,68.48,0.001872,144.01,2.3558,5.149,3.7077,0.23901,0.14978,0.44826,2.32,40.709,0.0263,7.1917,0.5521,1.2872,9.92,0.016481,0.0788,0.011951,0.003244,0.04183,53.727,0.18122,32.98,0.15633
5-Apr-20,6867.8,0.033449,0.03389,2.303,0.1797,0.16142,233.04,13.81,0.17981,0.01704,75.02,0.002015,158.18,2.5098,5.2759,3.6977,0.22894,0.16026,0.48814,3.29,42.532,0.0265,7.3022,0.5619,1.345,9.84,0.016354,0.0786,0.0125,0.00368,0.04973,52.95,0.18841,36.34,0.17162
12-Apr-20,7230.8,0.036531,0.03531,2.5094,0.1985,0.17139,243.7,16.62,0.19446,0.0177,80.21,0.002047,187.45,2.7274,5.6539,3.9468,0.24701,0.16274,0.49253,3.78,44.137,0.0298,7.8838,0.5956,1.4346,10.2,0.016889,0.0809,0.013373,0.003969,0.05052,57.166,0.19532,42.17,0.1792
19-Apr-20,7540.4,0.042239,0.0368,2.8687,0.2108,0.18264,238.09,16.22,0.2181,0.01742,85.78,0.002123,194.01,2.7031,5.7466,3.9642,0.2717,0.16963,0.55523,3.79,44.423,0.0291,8.4436,0.6314,1.4822,10.27,0.019953,0.1067,0.013941,0.004216,0.06159,60.009,0.1942,44.79,0.18468
26-Apr-20,8966.3,0.050915,0.04157,2.8733,0.2187,0.1912,260.87,17.51,0.21282,0.02089,83.3,0.002541,213.96,2.9394,7.4714,4.2669,0.28863,0.19123,0.69333,3.82,49.212,0.0365,9.223,0.7502,1.6444,11.22,0.021439,0.1394,0.016336,0.004514,0.07545,64.328,0.22371,46.54,0.21437
3-May-20,9554.6,0.051499,0.03994,2.7505,0.2126,0.21779,265.4,16.81,0.2052,0.02051,79.58,0.002604,210.22,2.753,7.0619,4.0966,0.29574,0.19772,0.67075,4.02,47.02,0.0374,11.0124,0.7412,1.5933,12.89,0.029864,0.1577,0.016109,0.004555,0.07142,62.942,0.21647,45,0.42431
10-May-20,9379.5,0.051031,0.03864,2.5524,0.1979,0.20345,236.44,16.05,0.20613,0.01864,73.62,0.002512,200.51,2.6349,6.6963,4.049,0.27181,0.19747,0.63091,3.76,43.264,0.036,10.0018,0.9326,1.539,12.73,0.02883,0.1834,0.014966,0.004449,0.06792,65.355,0.19981,42.45,0.38343
17-May-20,9177,0.054907,0.05146,2.5925,0.2026,0.20327,234.12,16.47,0.37282,0.0203,73.89,0.002538,206.62,2.5647,6.5571,3.9413,0.31902,0.19901,0.70296,3.93,43.875,0.0394,10.1976,1.8716,1.6689,12.6,0.027307,0.3022,0.014971,0.004619,0.06712,63.457,0.19883,46.95,0.32728
24-May-20,9692.5,0.076878,0.04704,2.818,0.2436,0.22067,252.53,17.73,0.58851,0.02326,79.04,0.002621,243.63,2.7719,7.4913,4.156,0.35753,0.21884,0.7027,4.17,47.746,0.0404,11.044,1.578,1.8017,13.38,0.028392,0.287,0.016372,0.006227,0.07257,68.328,0.20703,54.5,0.33738
31-May-20,9669.6,0.086181,0.05059,3.0527,0.2375,0.23693,253.27,17.56,0.60066,0.02222,78.26,0.002587,242,2.7986,6.8621,4.4623,0.336,0.24278,0.76025,4.35,46.794,0.0415,11.8119,1.7095,1.8477,14.21,0.027509,0.2701,0.017029,0.007313,0.07971,67.658,0.2037,52.81,0.32504
7-Jun-20,9471.3,0.079043,0.05503,2.8733,0.2344,0.23268,240.7,16.81,0.8242,0.0217,74.14,0.002532,238.22,2.6021,6.4915,4.2922,0.3385,0.22832,1.20368,4.11,45.104,0.0429,11.0906,1.6195,1.7789,16.84,0.025999,0.2516,0.016682,0.009595,0.07403,66.466,0.19241,52.78,0.36088
14-Jun-20,9358.8,0.079529,0.05373,2.6191,0.2309,0.23104,232.78,16.06,0.87298,0.0238,71.07,0.002458,228.86,2.5357,6.2614,4.0839,0.31929,0.21773,1.29168,4.18,43.59,0.0422,10.2773,1.47,1.6798,17.62,0.025654,0.2209,0.015958,0.008302,0.0698,64.134,0.18793,51.41,0.34954
21-Jun-20,9008.3,0.077387,0.04786,2.4342,0.2052,0.27073,216.42,15.13,0.95189,0.02416,66.98,0.002324,221.06,2.3331,5.5878,4.1305,0.28164,0.20298,1.07071,4.41,41.078,0.0369,9.7111,1.3892,1.5779,16.11,0.02164,0.2104,0.015463,0.008618,0.06274,62.129,0.17514,52.25,0.33273
28-Jun-20,9134.4,0.100002,0.05006,2.7853,0.2175,0.24991,225.28,15.56,1.45014,0.023,67.61,0.002306,229.15,2.4575,5.7006,4.1247,0.33484,0.24071,1.65506,4.82,42.077,0.0392,9.9683,1.5157,1.6952,18.89,0.024302,0.223,0.016826,0.01253,0.06795,64.193,0.17808,51.44,0.38693
5-Jul-20,9233.3,0.125197,0.05337,3.9239,0.2794,0.25789,236.63,17.62,1.5341,0.02544,72.66,0.003808,239.2,2.6198,6.5036,4.1855,0.40381,0.24982,1.64096,6.1,44.697,0.0406,10.7403,1.5289,2.0792,19.28,0.026811,0.2537,0.01837,0.018532,0.09419,68.718,0.20115,55.81,0.43602
12-Jul-20,9170.2,0.122673,0.05763,4.3639,0.356,0.26949,224.43,17.13,1.67606,0.02378,69.17,0.003455,235.75,2.5038,6.052,4.1775,0.38763,0.23868,1.82559,7.97,42.468,0.0395,10.5509,1.5838,2.3653,19.34,0.026182,0.249,0.017419,0.01818,0.10082,68.374,0.19989,59.06,0.41812
19-Jul-20,9704.1,0.143527,0.0578,3.918,0.3194,0.2636,251.01,19.8,1.38876,0.02546,74.66,0.003252,305.32,2.7277,6.7015,4.2905,0.39929,0.2756,1.53621,7.67,49.153,0.0464,11.6106,1.6445,2.4083,23.02,0.026611,0.2591,0.018773,0.018217,0.10072,73.592,0.21463,65.7,0.39368
26-Jul-20,11803.1,0.144153,0.05699,4.0865,0.3283,0.25869,319.51,21.62,1.81887,0.02707,93.05,0.003713,387.14,3.3047,7.836,4.768,0.38101,0.31379,1.48026,8.32,61.637,0.0465,13.404,1.6566,2.6514,20.67,0.027373,0.316,0.02047,0.017323,0.10761,89.636,0.291,89.41,0.39895
2-Aug-20,11764.3,0.146779,0.06832,4.4245,0.4523,0.26114,305.25,22.92,2.49089,0.02622,98.35,0.003514,396.76,3.0663,6.9418,4.7274,0.39576,0.32984,1.6852,12.72,58.446,0.1027,13.1351,1.6038,2.7554,21.27,0.027148,0.33,0.02046,0.020817,0.10328,94.918,0.29525,97.03,0.42062
9-Aug-20,11845.3,0.138406,0.06676,6.0806,0.6351,0.27411,302.18,23.01,2.05218,0.03426,93.87,0.003535,432.18,3.7192,7.1866,4.8065,0.51202,0.4132,1.83907,19.17,59.868,0.0985,15.1072,1.9347,3.096,21.82,0.039656,0.3838,0.025258,0.019549,0.10704,89.864,0.29886,85.04,0.49734
16-Aug-20,11661.3,0.125262,0.07727,6.4148,0.5648,0.39817,286.64,22.2,2.01713,0.03148,90.83,0.003437,395.56,3.3632,6.7682,4.6485,0.64568,0.40319,1.71974,15.87,60.228,0.097,18.9517,6.1471,4.1619,27.15,0.041298,0.4493,0.025118,0.018174,0.10233,94.562,0.28611,76.91,0.72638
23-Aug-20,11468.1,0.116258,0.0815,7.2661,0.5339,0.3517,268.01,22.94,1.8048,0.02909,85.01,0.003276,398.8,3.1279,6.5011,4.7845,0.63377,0.36627,1.65262,16.42,56.952,0.1093,21.1388,5.1003,3.4318,22.9,0.038566,0.5048,0.02489,0.016786,0.09621,92.536,0.27384,78.67,0.64465
30-Aug-20,10092.2,0.089965,0.05459,4.9228,0.3399,0.23699,225.51,19.47,1.00839,0.04824,67.94,0.00276,334.91,2.9376,5.1312,4.3308,0.41765,0.264,1.18259,10.6,47.812,0.0785,16.9202,3.7642,2.3416,16.08,0.029784,0.3938,0.029871,0.012101,0.0753,77.463,0.23736,55.78,0.42935
6-Sep-20,10441.9,0.097661,0.06808,5.6027,0.4089,0.2739,230.11,28.5,1.18847,0.03157,79.34,0.002815,387.98,2.804,5.2698,4.7272,0.49375,0.29889,1.31679,12.72,50.828,0.0849,21.7161,4.0746,2.8542,18.06,0.031123,0.5484,0.032712,0.013425,0.08385,86.074,0.24748,65.62,0.51525
13-Sep-20,11081.8,0.09142,0.06659,4.9392,0.3424,0.2426,233.2,27.2,0.90464,0.02679,72.81,0.002792,385.25,2.7033,5.2376,4.9094,0.46623,0.27202,1.05831,10.12,48.492,0.0807,24.5503,3.0393,2.631,15.42,0.026337,0.5797,0.027709,0.015269,0.07858,93.524,0.25111,57.97,0.42912
20-Sep-20,10727.9,0.095459,0.05383,4.6021,0.3252,0.23275,221.27,26.2,0.89131,0.02475,69.04,0.002697,354.25,2.5649,5.3683,4.6457,0.42494,0.26315,1.02674,10.3,46.047,0.0801,20.9989,3.0847,2.3948,15.07,0.024216,0.6963,0.027194,0.012843,0.07381,94.228,0.24157,56.18,0.3912
27-Sep-20,10544.2,0.093277,0.04746,5.0077,0.3151,0.22028,218.47,28.18,1.01465,0.02134,65.61,0.002597,345.6,2.4769,5.1261,4.6312,0.39077,0.26559,0.90831,9.27,45.518,0.0751,17.8138,3.7409,2.2975,14.09,0.022802,0.7515,0.027191,0.011732,0.071,102.985,0.23273,60.74,0.37608
4-Oct-20,11298.4,0.104963,0.05297,5.5323,0.3263,0.22012,237.29,28.38,1.10802,0.01991,67.95,0.002666,370.16,2.6414,5.2936,4.6771,0.39621,0.27251,0.97404,10.52,48.861,0.0799,17.5373,3.6155,2.3006,14.35,0.025387,0.7657,0.026441,0.011399,0.07731,114.884,0.25392,66.78,0.39525
11-Oct-20,11362.1,0.105979,0.04994,5.4617,0.3136,0.21449,244.82,30.23,1.11198,0.01882,67.28,0.002585,368.63,2.5228,5.1949,4.3137,0.38285,0.26936,0.92479,10.62,46.968,0.0738,17.1911,3.2495,2.1788,13.75,0.023299,0.6245,0.025745,0.010985,0.08173,117.052,0.24059,62.98,0.38431
18-Oct-20,13117.2,0.107991,0.05665,5.5371,0.3078,0.219,275.63,30.64,0.93469,0.01874,73.32,0.002634,411.92,2.6602,5.5247,4.5,0.3749,0.28725,0.92524,12.7,59.263,0.0746,18.3075,3.4847,2.3104,13.72,0.024287,0.7218,0.027064,0.012281,0.08555,126.092,0.25611,64.11,0.37905
25-Oct-20,13797.3,0.092976,0.04922,4.6105,0.2487,0.18531,261.74,28.51,0.59008,0.01679,69.94,0.002568,386.42,2.5279,5.2705,4.2344,0.31699,0.25198,0.79066,11.23,55.73,0.0646,14.7035,2.9124,1.9608,13.16,0.020994,0.61,0.026123,0.009876,0.07758,123.676,0.23972,58.07,0.32188
1-Nov-20,14828.4,0.101291,0.05062,4.6136,0.2583,0.19242,253.76,27.76,0.64435,0.01798,66.57,0.00267,435.4,2.4963,5.0779,3.7058,0.32739,0.25693,0.78536,11.75,58.856,0.0748,14.8218,3.042,1.9493,13.87,0.022166,0.6381,0.025097,0.010382,0.07955,105.903,0.24897,57.33,0.34944
8-Nov-20,16071,0.104055,0.0588,5.0414,0.2708,0.1966,255.14,27.91,0.67416,0.01811,77.02,0.002769,460.7,2.5354,5.0327,3.6166,0.35254,0.25129,0.89537,12.54,63.787,0.0793,15.67,3.3942,2.038,15.41,0.025517,0.6116,0.025418,0.011252,0.0809,114.42,0.26808,63.82,0.37431
15-Nov-20,18687.2,0.13354,0.0566,5.9218,0.3151,0.23398,304.59,30.5,1.15872,0.02421,94.35,0.00351,551.91,3.2317,6.6184,4.3342,0.4045,0.32462,1.04841,15.45,87.149,0.0871,18.313,4.1917,2.6953,16.65,0.031391,0.7013,0.030601,0.014433,0.10925,127.444,0.46343,72.59,0.41712
22-Nov-20,17730.7,0.164933,0.06997,5.4375,0.314,0.2295,276.04,29.16,0.99147,0.0234,109.09,0.003392,537.74,2.9981,6.3229,4.1,0.40861,0.33901,1.01243,13.09,72.683,0.0833,17.5333,3.6788,2.689,15.48,0.043338,0.6246,0.030468,0.015353,0.20014,121.175,0.62597,75.26,0.41554
29-Nov-20,19146.5,0.15993,0.07079,5.259,0.3441,0.23581,289.6,29.73,1.0256,0.02303,103.03,0.003391,596.68,3.0091,6.1996,3.915,0.4222,0.34141,0.95423,13.17,83.154,0.092,17.9604,3.7057,2.7188,19.02,0.03675,0.7385,0.03056,0.017493,0.17183,133.376,0.58532,71.79,0.40806
6-Dec-20,18808.9,0.144259,0.06203,5.0582,0.3093,0.21101,267.88,28.14,1.00317,0.02168,94.64,0.003164,567.78,2.7678,5.9683,3.9924,0.38379,0.28979,0.89433,12.22,76.656,0.0827,16.4693,3.1624,2.4676,16.41,0.034347,0.692,0.028556,0.016487,0.15879,146.672,0.50589,65.94,0.39174
13-Dec-20,23844,0.164301,0.07414,5.2899,0.3561,0.24451,318.13,33.3,1.36895,0.02388,108.29,0.003925,658.17,3.0543,6.4182,4.2894,0.43171,0.34048,0.94426,13.47,119.84,0.0921,17.8304,3.216,2.8117,19.52,0.03817,0.9004,0.031232,0.017368,0.18162,154.775,0.57659,73.52,0.42384
20-Dec-20,26454.4,0.158322,0.0656,4.8181,0.3091,0.21379,323.52,33.59,1.277,0.02311,107.91,0.004508,636.58,2.6118,5.8417,3.9992,0.41484,0.28576,0.78734,10.97,129.62,0.0788,14.9797,2.4906,2.2618,16.89,0.030932,1.6666,0.027783,0.016454,0.14691,167.908,0.29461,66.56,0.35391
27-Dec-20,32193.3,0.177335,0.0943,5.4168,0.4072,0.20389,354.2,38.23,1.277,0.02284,86.92,0.010489,774.5,2.6309,5.7752,4.8557,0.43145,0.28561,0.79004,12.21,136.781,0.0796,14.4203,2.3739,2.2482,16.76,0.030468,2.3972,0.0272,0.019998,0.12752,143.31,0.22097,57.45,0.36049
3-Jan-21,40151.9,0.330163,0.08675,6.5374,0.5115,0.27452,574.17,43.83,1.62398,0.03008,109.93,0.010158,1275.58,3.6121,7.761,5.207,0.68653,0.43228,1.18055,17.55,177.179,0.1155,21.3443,3.7094,3.2278,20.57,0.060883,2.0387,0.033809,0.028858,0.31056,147.162,0.32432,78.5,0.54385
10-Jan-21,36019.5,0.351231,0.07942,9.0463,0.5185,0.2665,489.93,43.1,1.73086,0.02554,125,0.009235,1228.27,2.7781,7.7773,5.1676,0.66407,0.42438,1.26571,20.14,143.531,0.1088,23.5965,3.4576,3.0567,20.04,0.054469,2.0461,0.030097,0.026867,0.29103,155.623,0.27951,108.11,0.52733
17-Jan-21,32088.9,0.345559,0.08253,8.3415,0.5561,0.32956,431.1,40.92,1.76101,0.02436,105.29,0.008571,1233.4,2.7026,7.4463,5.7718,0.72625,0.44427,1.34674,24.79,137.642,0.1932,24.4246,3.6126,3.9263,20.8,0.047184,1.9295,0.029234,0.030008,0.26987,138.855,0.27166,85.96,0.56377
24-Jan-21,34283.1,0.363623,0.08737,8.049,0.6641,0.3159,416.86,44.76,1.92209,0.03632,105.16,0.028197,1376.96,2.9295,7.5821,6.41,0.7657,0.42675,1.36608,23.63,133.349,0.1577,22.8602,3.476,3.2958,20.23,0.052886,2.0032,0.032175,0.026859,0.32838,139.359,0.44304,84.38,0.65366
