Date,BTC,trend,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX
2021/1/23,"32,079.70",1,0.34579,0.5563,8.329,0.3296,431.16,40.92,0.06782,"1,233.30",0.7285,0.4506,24.79,62.78,24.447,3.919,0.02923,0.030046,0.26981,0.27167,85.92,0.5636
2021/1/24,"32,224.50",1,0.35315,0.5618,8.231,0.3184,439.26,41.83,0.06902,"1,389.84",0.7613,0.4559,24.76,59.07,24.396,3.545,0.02998,0.030623,0.27117,0.2732,89.98,0.5483
2021/1/25,"32,239.50",1,0.34307,0.5561,7.741,0.3014,432.4,41.78,0.06681,"1,317.57",0.809,0.4322,23.35,60.22,23.319,3.284,0.02949,0.029758,0.26074,0.26754,87.88,0.5207
2021/1/26,"32,489.00",1,0.34355,0.601,7.738,0.2993,427.66,41.72,0.06785,"1,365.64",0.893,0.433,23.11,60.51,23.171,3.433,0.02948,0.029456,0.26166,0.26842,89.28,0.5428
2021/1/27,"30,388.20",1,0.31203,0.541,6.963,0.3028,377.6,40.98,0.06206,"1,249.01",0.8001,0.3921,20.96,62.04,21.075,3.112,0.02825,0.026424,0.23792,0.25067,78.47,0.5842
2021/1/28,"33,330.40",1,0.34396,0.559,8.021,0.3056,404.45,42.48,0.06541,"1,327.17",0.8147,0.4038,22.97,58.3,22.225,3.275,0.02958,0.0274,0.29305,0.26412,86.73,0.6069
2021/1/29,"34,311.90",1,0.34746,0.6364,7.98,0.309,407.08,42.87,0.06726,"1,379.59",0.8025,0.4125,22.73,58.1,22.573,3.306,0.03336,0.027849,0.2931,0.2828,85.48,0.6009
2021/1/30,"34,265.60",1,0.36388,0.6643,8.057,0.3159,416.82,44.76,0.07317,"1,376.41",0.7655,0.4293,23.63,56.1,22.846,3.297,0.03217,0.026857,0.32843,0.44325,84.51,0.653
2021/1/31,"33,094.30",1,0.34484,0.652,8.144,0.3028,399.73,44.33,0.06907,"1,312.52",0.7201,0.4077,22.57,57.36,22.276,3.279,0.03155,0.025411,0.3066,0.4949,85.65,0.707
2021/2/1,"33,506.30",1,0.40818,0.6441,9.284,0.3172,414.39,51.41,0.07504,"1,373.00",0.7675,0.4164,22.89,56.96,23.089,3.467,0.03297,0.029383,0.32336,0.37159,88.61,0.6865
